hsgpa,Superset,AL,termhrs,Math Tier,gradeN,1TG zer,1T GD z,RATE.NND
3.45,1120,0,12,,,3.5,-0.05,G
3.86,1240,4,16,4,3,3.231,0.629,G
3.3,950,1,12,,,3.833,-0.533,N
3.69,1300,2,16,4,4,3,0.69,N
2.8,1100,0,16,5,0,0,2.8,N
3.4,1080,4,16,2,4,3.063,0.337,G
3.7,1030,3,16,4,3,3.563,0.137,G
2.5,980,2,15,4,0,2.417,0.083,G
3.94,1140,1,16,2,4,4,-0.06,G
3,1030,2,16,1,2,2.125,0.875,N
2.9,1040,0,17,1,0,0,2.9,N
3.59,920,0,16,4,2,2.813,0.777,G
3.93,1210,4,16,4,4,3.625,0.305,G
3.97,1080,0,16,1,3,2.667,1.303,N
3,1110,3,15,4,2,2.8,0.2,G
3,890,1,16,1,3,2.625,0.375,N
3.3,960,4,16,2,1,2,1.3,G
3.24,890,0,12,1,2,1.583,1.657,N
3.23,1180,3,16,2,4,4,-0.77,G
3.17,1070,2,16,2,3,2.667,0.503,N
3.8,1170,0,16,4,4,3.625,0.175,G
3.81,1140,3,17,4,3,3.286,0.524,G
3,1040,0,15,4,2,2.933,0.067,N
3,1190,1,15,2,3,2.4,0.6,N
3.65,1280,0,16,4,4,3.625,0.025,G
2.43,900,0,14,1,0,0,2.43,N
3.79,1120,4,15,4,4,3.2,0.59,G
3.52,810,0,15,2,0,2.714,0.806,G
3.57,1280,4,16,4,4,3.125,0.445,N
3.5,1250,2,16,4,4,3.813,-0.313,G
3.34,950,3,15,,,2,1.34,G
3.9,1220,4,16,4,2,2.5,1.4,N
2.48,880,2,13,1,2,3.077,-0.597,N
3.3,1100,3,15,2,2,2,1.3,N
3.7,950,4,16,2,3,3.25,0.45,G
3.94,1350,0,17,4,4,3.786,0.154,G
2.8,890,2,17,4,1,1.882,0.918,N
3.91,1120,0,16,1,4,3.625,0.285,G
3.74,1220,4,16,2,3,2.867,0.873,G
3.21,650,0,16,2,2,2.25,0.96,G
3.57,1020,4,17,4,0,0.941,2.629,N
2.91,740,0,12,,,3,-0.09,N
1.75,1240,0,16,,,3,-1.25,N
3.3,920,4,16,3,4,2.583,0.717,G
3.34,1140,2,16,2,3,2.833,0.507,G
3.3,1100,4,17,4,1,2.143,1.157,G
2.99,870,2,14,2,3,1.071,1.919,G
3.35,1190,4,15,1,2,1.067,2.283,N
3.56,1050,3,16,4,1,2.5,1.06,N
2.3,1270,0,16,1,1,1.8,0.5,N
3,880,2,14,4,1,2.071,0.929,N
2.99,680,3,17,1,2,2.471,0.519,G
3.26,1060,0,15,4,2,2.917,0.343,G
2.783,990,4,17,1,2,1.824,0.959,G
3.3,980,1,16,4,2,1.5,1.8,N
3.21,910,0,14,2,0,1.846,1.364,G
3.22,1170,4,16,2,1,1.4,1.82,N
3.9,840,0,16,3,0,3.563,0.337,N
2.81,1110,0,16,2,0,0,2.81,N
3.9,1190,3,16,4,2,2.25,1.65,N
2.59,1070,3,17,2,0,1.733,0.857,N
3.76,1280,1,17,2,2,3.313,0.447,G
3.7,1120,3,16,2,3,3.467,0.233,G
2.98,780,2,13,2,0,0.231,2.749,N
2.71,740,2,14,1,3,2.357,0.353,G
2.92,1070,2,17,1,0,0.643,2.277,N
3,900,2,13,1,4,2.769,0.231,G
2.98,880,4,15,4,2,1.667,1.313,N
2.34,940,4,15,4,1,1.25,1.09,N
3.3,1330,4,16,4,3,3.188,0.112,N
3.45,930,3,17,4,0,0,3.45,N
3.9,920,4,16,4,0,0,3.9,N
2.74,850,4,17,1,3,1.235,1.505,G
3.37,1330,1,16,4,3,2.438,0.932,N
1.7,1130,4,17,4,4,2.882,-1.182,G
2.93,970,0,16,2,0,1.765,1.165,N
2.64,810,4,14,1,0,1.231,1.409,N
2.31,1060,2,16,,,2.6,-0.29,N
2.57,820,3,13,2,1,1.923,0.647,N
2.42,700,0,12,,,1.917,0.503,G
2.62,900,4,16,2,0,1.385,1.235,N
2.69,1260,4,14,2,3,3.429,-0.739,N
2.55,950,3,16,1,0,2.692,-0.142,N
2.3,820,0,16,1,0,0,2.3,N
3.28,870,3,16,1,3,3.063,0.217,G
3.96,930,1,15,3,4,3.75,0.21,G
2.67,860,1,15,1,0,0,2.67,N
2.66,830,0,15,1,2,3.2,-0.54,G
3.05,870,3,16,1,0,2.438,0.612,N
2.15,1000,4,15,2,0,2.2,-0.05,N
3.3,1350,0,16,2,2,2.4,0.9,G
3.87,1080,4,16,4,3,3.563,0.307,G
3.41,1050,4,14,1,0,1.357,2.053,G
3.25,1180,4,16,,,3.4,-0.15,G
2.88,750,3,14,,,2.75,0.13,G
3.1,900,3,13,2,3,3.077,0.023,G
3.95,1440,0,16,4,4,4,-0.05,G
2.93,1090,3,15,4,3,2.2,0.73,G
3,970,1,16,4,2,2.2,0.8,N
2.81,1000,2,17,2,2,1.5,1.31,N
3.38,1500,4,16,4,1,2,1.38,N
3.72,1340,2,17,4,0,1.571,2.149,N
3.7,940,0,17,2,3,2.25,1.45,G
4,1220,4,14,4,4,4,0,G
3.69,1200,1,16,2,2,2.6,1.09,G
3.36,950,0,17,4,0,0.643,2.717,N
2.94,1210,2,13,2,4,2.917,0.023,G
3.3,1180,2,13,2,0,1.231,2.069,N
3.41,1060,3,16,2,2,2.313,1.097,N
2.72,860,3,15,1,1,1.857,0.863,N
3.2,1210,0,14,,,0.857,2.343,N
3.15,1210,4,16,4,2,2.125,1.025,N
3.47,1030,4,16,1,3,3.067,0.403,N
3.08,1080,0,19,3,4,0,3.08,G
3.3,850,2,14,1,4,2.786,0.514,G
3.5,1240,2,16,4,3,2.813,0.687,G
3.3,1050,4,14,2,4,4,-0.7,G
3.94,1170,1,17,1,4,2.538,1.402,G
3.41,850,4,16,2,4,2.867,0.543,N
2.19,1260,3,17,4,3,1.643,0.547,N
2.7,1060,1,17,2,1,2.563,0.137,G
3.75,850,4,16,1,0,0.267,3.483,N
3.75,1210,3,16,4,4,3.688,0.062,G
3.75,1040,4,15,2,1,2.357,1.393,N
4,1340,3,16,4,4,3.625,0.375,G
3.28,1030,3,16,4,1,1.938,1.342,G
3.1,1150,0,16,1,0,0.063,3.037,N
3.09,990,0,16,1,4,1.313,1.777,N
4,1390,0,16,2,4,4,0,G
3.6,850,3,16,1,1,2.8,0.8,G
3,840,0,16,1,0,1.5,1.5,N
2.81,1060,0,16,4,1,1.538,1.272,N
3.64,1140,2,13,2,0,0,3.64,N
3.86,1140,4,16,4,4,3.438,0.422,G
2.89,1070,0,16,4,3,2.875,0.015,G
3.02,1180,4,17,4,1,1.429,1.591,N
3.4,1120,0,13,1,0,0.231,3.169,N
3.84,1360,4,15,4,4,3.714,0.126,G
3.2,850,3,17,4,0,1.143,2.057,N
3.76,1170,0,17,4,4,3.647,0.113,N
3.7,910,3,15,4,4,3.417,0.283,N
2.95,1140,0,15,3,0,0.438,2.512,N
2.9,1100,0,16,4,1,1.615,1.285,N
2.7,860,3,16,2,4,1.933,0.767,N
3.89,1360,2,17,4,4,3.118,0.772,N
3.39,810,4,15,1,3,2.143,1.247,N
3.01,1030,1,15,4,3,2.4,0.61,G
3.7,1260,1,17,4,0,1.308,2.392,N
2.64,810,3,16,1,2,2,0.64,G
3.3,860,4,17,2,4,3.375,-0.075,G
2.75,860,1,17,1,1,2.667,0.083,N
2.65,1050,0,12,2,0,0,2.65,N
3.8,1160,1,16,4,2,2.938,0.862,G
3.3,1170,3,16,2,2,2.467,0.833,G
2.78,800,0,17,2,1,1.588,1.192,N
3.9,1160,0,16,,,3.467,0.433,G
3.41,1050,3,17,1,0,1.154,2.256,G
4,1180,3,16,,,4,0,G
3.2,810,0,14,1,2,2.462,0.738,N
3.3,960,0,15,4,2,2.2,1.1,G
3.21,1280,2,16,4,2,2.188,1.022,N
3.4,980,2,16,,,3.067,0.333,G
2.51,760,4,13,1,2,1.615,0.895,G
2.87,820,3,15,4,1,2.4,0.47,N
3.83,1490,0,17,5,3,3.588,0.242,G
3.05,1020,3,16,2,2,2.067,0.983,N
3.41,1410,0,16,4,3,3.188,0.222,N
3,910,0,17,1,3,3.25,-0.25,N
3.46,1150,0,13,4,3,2.462,0.998,N
2.85,1030,2,16,2,4,3.6,-0.75,G
2.75,1260,0,17,1,0,0.647,2.103,N
2.96,1040,2,16,1,0,2.875,0.085,G
3,1110,2,15,4,1,2.333,0.667,N
2.96,950,4,16,1,0,1.625,1.335,N
2.48,1120,4,15,4,4,3.8,-1.32,G
3.21,1140,4,16,2,4,3.133,0.077,G
2.15,910,0,16,1,0,1,1.15,N
3.64,1100,0,13,2,1,1,2.64,N
3.26,940,0,15,1,2,2.2,1.06,N
2.8,840,2,17,1,1,2,0.8,N
3.35,1150,0,17,4,2,1.571,1.779,N
3.91,1400,3,17,3,2,2.588,1.322,G
3.86,1140,4,15,4,3,3.2,0.66,N
3,1120,0,16,1,3,3.467,-0.467,N
2.66,1080,1,14,4,2,2.571,0.089,G
2.4,1000,0,17,,,0.357,2.043,N
3.23,1030,4,16,2,2,3.063,0.167,G
2.7,1020,4,16,2,2,2.188,0.512,G
3.42,1310,3,16,3,2,4,-0.58,N
2.3,950,4,16,1,0,1.25,1.05,G
3.4,1200,4,17,4,3,2.941,0.459,G
3.91,1250,4,16,4,4,3.5,0.41,G
3.48,1200,1,16,4,4,3.813,-0.333,G
3.66,1290,3,15,,,4,-0.34,G
3.42,1190,1,15,4,1,2.583,0.837,G
3.7,1150,0,16,4,3,3.583,0.117,G
3.38,800,0,15,2,2,2.5,0.88,N
3.38,1090,1,16,4,3,3,0.38,G
3.37,970,3,16,1,4,3.267,0.103,G
3.43,1310,3,16,2,4,3.6,-0.17,G
3.82,1400,4,16,4,3,3.375,0.445,G
3.6,890,3,16,4,0,0,3.6,N
3,1190,0,16,,,1.133,1.867,N
3.01,780,2,16,4,2,2.692,0.318,G
3.45,1290,1,16,2,0,1.563,1.887,G
3.7,1300,2,16,4,2,1.688,2.012,N
3.6,1180,3,17,4,4,2.941,0.659,N
1.97,980,0,15,2,0,0,1.97,N
3.68,980,0,13,1,0,0.75,2.93,N
3.74,690,1,17,,,0,3.74,N
3.98,1320,4,16,4,3,2.813,1.167,N
3.55,1130,0,16,2,4,2.133,1.417,N
3.61,1510,1,17,4,2,3.286,0.324,G
3.95,1280,4,16,3,3,3.375,0.575,G
3.74,1050,4,16,2,2,3.25,0.49,N
3.05,1240,0,17,4,3,3.412,-0.362,G
3.02,1080,3,16,1,2,1.933,1.087,G
3.92,1260,0,16,2,2,3.438,0.482,G
3.64,780,3,16,2,1,2.667,0.973,N
3.95,1160,0,16,4,0,3.5,0.45,N
3.7,990,3,16,2,2,3.067,0.633,G
3.75,1100,4,16,2,2,3.4,0.35,G
3.6,1020,3,16,2,0,0,3.6,N
3.21,1060,3,15,4,0,2.267,0.943,N
2.94,1360,0,16,2,4,3.467,-0.527,N
3.48,1040,1,15,1,4,3.25,0.23,N
3.43,1000,2,17,2,2,3.059,0.371,N
4,1300,3,15,4,4,3.8,0.2,N
2.53,920,0,13,2,0,0.667,1.863,N
3.7,1110,4,16,3,0,0.769,2.931,N
3.07,880,3,15,1,2,2.467,0.603,G
2.6,840,3,14,,,0,2.6,N
2.67,980,4,16,1,1,2.467,0.203,N
2.3,940,2,16,1,2,1.875,0.425,N
4,1020,1,16,3,3,3,1,N
3.23,1240,2,16,2,2,3.067,0.163,G
3.27,1010,3,16,1,2,2.25,1.02,N
3.3,1050,3,16,2,0,0,3.3,N
2.7,600,0,14,1,0,1.308,1.392,N
3.532,1080,0,14,,,0,3.532,N
3,1130,3,16,2,0,1.867,1.133,N
3.67,950,4,17,4,3,2.706,0.964,G
3.7,870,0,16,2,0,1.375,2.325,N
3.43,740,3,17,1,4,3.412,0.018,G
3.9,1430,0,16,2,4,3.313,0.587,G
3.86,1310,4,16,4,4,4,-0.14,G
4,1120,4,16,4,3,3,1,G
3.13,1090,3,15,4,1,1.533,1.597,N
3.56,950,3,16,2,3,2.867,0.693,G
3,1170,2,17,2,0,0.385,2.615,N
3.24,1020,3,16,2,1,2.2,1.04,N
3.3,1220,3,14,4,1,2.154,1.146,N
3,1010,4,16,4,0,0.625,2.375,N
2.95,930,4,14,4,0,1.286,1.664,N
3.07,990,4,15,2,1,2.6,0.47,N
2.87,820,3,15,1,3,3,-0.13,G
3.42,1280,2,12,,,4,-0.58,N
2.46,780,4,13,2,0,0.444,2.016,N
3.9,1550,1,14,5,3,3.357,0.543,G
2.59,860,1,14,2,2,1.643,0.947,N
2.9,1050,4,15,3,0,0.417,2.483,N
3.25,1320,1,14,4,4,2.929,0.321,G
3.01,1120,0,17,4,1,1.643,1.367,G
3.68,1270,3,16,4,4,3.813,-0.133,G
3,1090,3,16,4,3,2.875,0.125,N
3.01,1150,0,16,4,4,3.125,-0.115,N
2.88,930,0,16,1,4,2.563,0.317,N
3.58,1080,1,16,2,1,1.933,1.647,N
2.81,1090,0,16,4,1,2.313,0.497,G
3.83,1300,0,16,4,3,2.846,0.984,N
3.52,890,3,12,,,3.333,0.187,N
3.7,1390,3,14,4,2,3,0.7,G
2.89,1110,2,17,4,3,2.286,0.604,N
2.3,690,2,14,1,0,0.214,2.086,N
3.8,1300,0,16,4,3,2.5,1.3,G
2.95,980,0,12,,,3,-0.05,G
3.3,1250,3,14,4,0,2.8,0.5,N
3.63,1290,4,16,4,3,3,0.63,N
3.28,1220,0,16,4,4,2.813,0.467,G
3.15,920,0,17,,,2.571,0.579,N
3.85,1060,4,17,4,4,3.706,0.144,G
3.81,1220,1,16,4,4,3.077,0.733,N
2.5,1130,2,14,,,1.429,1.071,N
3.68,1220,3,12,4,1,2.417,1.263,N
2.65,930,0,17,1,0,0.529,2.121,N
3.28,1000,0,13,1,4,3.077,0.203,G
3.14,950,4,16,4,1,2.313,0.827,G
3.1,1070,1,15,1,3,2.267,0.833,N
2.97,1090,1,16,1,0,1.533,1.437,N
2.91,1090,1,16,4,2,2.563,0.347,N
3.7,1100,3,15,4,2,3,0.7,N
2.7,730,1,14,2,0,1.214,1.486,N
3,980,3,14,2,1,2.929,0.071,G
3.93,1380,0,15,4,4,3.714,0.216,G
4,1340,2,16,4,4,4,0,G
2.8,860,4,16,1,2,1.8,1,N
2.98,860,0,16,1,1,1.533,1.447,G
3.37,870,4,17,4,1,1.6,1.77,N
3,1010,2,14,2,0,1,2,G
3.58,1370,0,17,4,3,3.176,0.404,G
3.38,1020,0,16,1,3,2.467,0.913,G
2,900,0,13,2,3,1.75,0.25,G
3.71,1120,4,16,2,4,3.813,-0.103,G
3.63,960,4,15,4,3,3,0.63,G
4,1130,2,15,,,3.8,0.2,G
3.4,930,3,17,4,2,1.706,1.694,G
2.7,1090,3,16,1,2,3,-0.3,G
3.7,1110,2,15,4,4,3.6,0.1,G
3.57,1070,4,16,2,3,3.188,0.382,G
3.04,1140,3,15,4,2,2.6,0.44,N
3.52,1230,3,15,2,3,3.429,0.091,G
3.96,1290,2,15,2,4,4,-0.04,G
3.48,1110,4,16,2,3,3.067,0.413,G
2.75,1400,0,16,4,2,1.154,1.596,N
3.72,1270,4,16,4,4,3.5,0.22,G
3.5,1180,2,16,1,3,2.688,0.812,G
3.35,1160,4,13,4,0,1.231,2.119,G
3.08,760,2,17,2,3,3.313,-0.233,N
3.06,1010,2,15,,,2.8,0.26,N
3.57,1320,0,16,4,2,3.063,0.507,N
2.71,860,2,15,4,0,0.167,2.543,N
3.3,990,0,16,1,2,3.067,0.233,G
3.65,1310,4,16,,,3.467,0.183,N
3.38,1070,3,16,2,0,1.933,1.447,G
3.28,1300,4,16,4,3,3.188,0.092,N
2.82,810,2,16,1,0,0,2.82,N
3.6,1130,3,16,1,3,3.563,0.037,N
2.97,1220,4,16,,,0.833,2.137,N
4,1160,0,16,4,4,3.813,0.187,G
3.47,970,0,15,2,2,2,1.47,G
3.4,1020,0,16,2,3,3.2,0.2,N
2.7,1100,3,15,2,1,1.933,0.767,G
3,1050,3,16,4,2,2.563,0.437,G
3.55,1170,4,16,4,3,3.375,0.175,G
3.41,1120,0,16,1,3,3.375,0.035,G
2.88,1120,0,16,2,3,3,-0.12,G
2.44,820,0,16,2,0,1.375,1.065,N
2.78,1050,1,15,2,0,1.6,1.18,G
2.3,840,0,14,2,0,2.5,-0.2,N
3.47,1130,0,16,2,4,3.267,0.203,G
2.56,930,0,12,2,0,0,2.56,G
3.86,1240,4,15,4,3,3.533,0.327,G
3.05,980,1,17,2,3,3.471,-0.421,G
3.4,1180,3,15,2,3,3.6,-0.2,G
3.47,930,0,17,1,2,2.706,0.764,G
3.08,1200,0,15,3,1,1.4,1.68,N
3.95,1380,4,16,4,4,4,-0.05,G
3.9,910,1,15,4,4,3.4,0.5,G
4,1260,3,13,4,4,3.385,0.615,G
3.3,990,1,17,4,0,1.286,2.014,N
3.27,1050,0,16,2,2,3.063,0.207,G
3,1170,0,16,2,3,2.667,0.333,G
3.76,1260,3,16,2,4,4,-0.24,N
3.14,1110,3,16,2,2,2.733,0.407,N
3.3,1170,4,16,4,1,1.063,2.237,N
3.55,1280,4,16,4,4,3.813,-0.263,N
3,1260,2,16,4,1,1.231,1.769,G
2.7,1010,3,17,2,2,2.941,-0.241,N
3.25,1040,0,16,2,0,2.125,1.125,N
3.26,810,0,17,2,0,2.571,0.689,G
3.73,1350,3,16,4,3,3.125,0.605,N
2.98,1060,0,17,4,3,2.824,0.156,G
2.34,920,3,15,1,2,1.714,0.626,G
3.64,1190,4,17,,,3.118,0.522,G
3.28,1080,4,15,2,3,3.286,-0.006,G
3.64,970,0,17,4,1,2.588,1.052,N
3,1180,3,16,2,3,3.133,-0.133,N
3.42,1130,3,16,4,2,2.375,1.045,G
2.75,1110,3,17,2,1,1.688,1.062,N
3.66,1190,0,16,2,4,3.125,0.535,G
3.37,1020,4,17,3,1,1.462,1.908,N
2.7,960,0,16,4,1,2.5,0.2,G
3.1,1050,1,12,,,3.25,-0.15,N
4,1260,0,16,4,2,2.923,1.077,G
3.94,980,4,16,2,3,2.385,1.555,N
3.95,1360,2,16,4,4,4,-0.05,G
3.3,1160,4,16,,,2.875,0.425,G
4,1380,2,16,4,4,4,0,G
2.7,990,4,15,1,3,1.733,0.967,N
2.57,1080,1,16,2,0,2.583,-0.013,N
3.37,1190,4,16,4,3,2.625,0.745,G
2.75,1040,1,16,1,2,2.154,0.596,G
3.21,1110,0,17,1,0,2,1.21,G
3.55,1140,2,17,1,3,2.882,0.668,N
3.03,860,0,16,,,2.231,0.799,G
3.11,950,3,14,2,1,2.357,0.753,N
3.02,1200,4,14,1,1,1.308,1.712,N
2,1190,3,13,2,0,0.692,1.308,N
3.66,1270,2,17,4,3,2.529,1.131,G
3.55,1340,4,16,4,3,3.063,0.487,G
3.23,1030,4,16,2,2,3.063,0.167,N
3.6,980,4,15,4,3,2.2,1.4,G
3.85,1240,3,16,5,3,3.375,0.475,G
3.13,1170,2,12,,,3,0.13,G
2.9,850,3,17,1,3,2.706,0.194,G
3.96,1100,4,12,,,3.833,0.127,N
3.3,1170,2,16,2,4,3.625,-0.325,G
3.99,1400,4,17,4,3,2.917,1.073,N
3.744,1120,1,16,1,3,3.625,0.119,G
3,760,0,15,1,4,3.4,-0.4,G
3.97,1190,1,16,2,3,3.769,0.201,N
3.92,1490,4,16,4,3,3.563,0.357,G
3.13,880,1,16,2,1,2.563,0.567,N
3.7,1280,0,17,4,3,3.353,0.347,G
2.7,810,3,17,2,1,1.75,0.95,G
3.41,1100,4,17,4,4,3.588,-0.178,G
3.16,1180,1,12,,,2.417,0.743,G
3.51,850,3,15,2,2,3.2,0.31,G
2.9,1150,0,16,2,3,3.267,-0.367,G
3.81,1050,3,16,4,0,0,3.81,N
3.29,1420,4,16,4,0,0.615,2.675,N
4,1400,0,13,2,4,4,0,G
3.09,910,4,17,1,3,2.375,0.715,G
3.48,1020,2,15,2,2,2.857,0.623,G
3.32,1040,2,13,3,0,1.385,1.935,N
3.67,1060,3,16,4,3,1.875,1.795,N
3.82,1220,4,15,,,4,-0.18,G
3,1180,0,16,4,2,2.063,0.937,G
2.27,890,2,16,1,3,2.533,-0.263,G
2.75,1110,3,14,2,4,3.231,-0.481,G
3.3,1340,1,16,4,3,3.188,0.112,G
2.7,1080,3,16,4,4,3.769,-1.069,N
3.9,1430,3,16,4,4,3.438,0.462,G
3.56,1240,3,15,4,4,3.667,-0.107,G
3.86,1040,0,16,2,3,3.267,0.593,G
3.47,1080,4,15,2,3,2.714,0.756,G
2.47,830,3,12,,,2.5,-0.03,N
3.27,1350,4,16,,,3.25,0.02,G
2.82,1230,0,16,4,3,3.188,-0.368,G
3.22,1180,0,16,2,3,3.267,-0.047,N
3.85,1280,3,16,4,3,2.923,0.927,G
2.67,800,1,17,3,2,2.765,-0.095,N
4,1280,4,17,4,3,3.353,0.647,G
3.98,1180,1,16,4,3,2.813,1.167,G
3.73,1350,2,17,4,2,2.571,1.159,N
3.84,910,4,15,3,2,3.2,0.64,G
3.3,1130,3,12,1,4,3.583,-0.283,G
2.89,1270,4,16,2,3,2.6,0.29,G
3.97,1360,0,16,4,4,4,-0.03,G
3.75,1180,2,16,4,3,3.188,0.562,G
3,1180,0,16,4,0,1.625,1.375,N
2.42,1110,3,16,1,0,0.933,1.487,N
3.13,1070,4,15,2,2,2.357,0.773,N
3.91,1250,4,16,3,3,3,0.91,G
2.73,850,4,14,1,2,2.846,-0.116,N
2.7,1080,3,12,,,2.583,0.117,N
3.17,1040,3,15,1,2,2.583,0.587,N
3.77,1450,1,16,4,3,3.563,0.207,N
2.7,1170,1,16,2,3,3,-0.3,G
3.9,1430,1,16,,,4,-0.1,G
2.98,950,4,12,,,1,1.98,N
3.19,1100,1,14,2,0,2.917,0.273,G
3.74,1360,0,16,4,3,3.125,0.615,G
2.98,1030,2,16,2,2,2,0.98,N
3,1230,0,16,4,3,2.875,0.125,N
4,1420,3,17,4,4,4,0,G
3.26,920,3,12,,,2.417,0.843,N
2.66,810,4,15,1,1,1.8,0.86,N
3.69,1030,3,15,3,3,3.533,0.157,N
3.11,1230,4,16,4,2,2.692,0.418,N
2.35,1100,0,14,2,0,1,1.35,N
3.22,1160,4,16,1,3,2,1.22,G
3.7,1020,2,16,1,4,4,-0.3,N
3.43,1340,1,16,4,3,3.375,0.055,G
3.7,1090,1,14,2,4,4,-0.3,N
2.68,1080,0,16,2,2,3.063,-0.383,G
3.31,1100,0,16,2,1,2.467,0.843,G
2.47,1020,2,13,1,1,1.75,0.72,N
2.87,810,3,17,1,0,1.875,0.995,G
3.23,1180,2,15,1,4,3.8,-0.57,G
3.08,1180,4,16,2,4,3.133,-0.053,G
3.68,1100,0,16,3,4,3.25,0.43,G
2.94,1080,3,16,2,0,1.438,1.502,G
2.78,790,3,12,1,1,2.364,0.416,N
3.93,1260,4,15,4,4,3.6,0.33,G
2.74,940,0,16,2,1,2.133,0.607,G
3.74,1040,3,16,,,3.813,-0.073,G
3.7,1130,4,16,1,4,3.067,0.633,G
3.3,1180,3,16,4,2,1.538,1.762,N
3.81,1270,1,16,4,3,3.563,0.247,G
