hsgpa,Superset,AL,termhrs,Math Tier,gradeN,1TG zer,1T GD z,Change,CG Bla,FG D z,RATE.NND
3.3,990,0,16,1,2,3.067,0.233,1,3.034,0.266,G
3.65,1310,4,16,,,3.467,0.183,1, ,3.65,N
3.38,1070,3,16,2,0,1.933,1.447,0,2.26,1.12,G
3.28,1300,4,16,4,3,3.188,0.092,0,3.245,0.035,N
2.82,810,2,16,1,0,0,2.82,0, ,2.82,N
3.6,1130,3,16,1,3,3.563,0.037,0,2.436,1.164,N
2.97,1220,4,16,,,0.833,2.137,0, ,2.97,N
4,1160,0,16,4,4,3.813,0.187,0,3.6,0.4,G
3.47,970,0,15,2,2,2,1.47,0,2.236,1.234,G
3.4,1020,0,16,2,3,3.2,0.2,1,3.2,0.2,N
2.7,1100,3,15,2,1,1.933,0.767,1,2.602,0.098,G
3,1050,3,16,4,2,2.563,0.437,0,2.543,0.457,G
3.55,1170,4,16,4,3,3.375,0.175,0,3.192,0.358,G
3.41,1120,0,16,1,3,3.375,0.035,0,3.796,-0.386,G
2.88,1120,0,16,2,3,3,-0.12,1,3.633,-0.753,G
2.44,820,0,16,2,0,1.375,1.065,0,1.375,1.065,N
2.78,1050,1,15,2,0,1.6,1.18,0,2.509,0.271,G
2.3,840,0,14,2,0,2.5,-0.2,0,2.5,-0.2,N
3.47,1130,0,16,2,4,3.267,0.203,1,3.606,-0.136,G
2.56,930,0,12,2,0,0,2.56,1,2.52,0.04,G
3.86,1240,4,15,4,3,3.533,0.327,0,3.095,0.765,G
3.05,980,1,17,2,3,3.471,-0.421,1,3.62,-0.57,G
3.4,1180,3,15,2,3,3.6,-0.2,1,3.385,0.015,G
3.47,930,0,17,1,2,2.706,0.764,0,2.45,1.02,G
3.08,1200,0,15,3,1,1.4,1.68,1,2.196,0.884,N
3.95,1380,4,16,4,4,4,-0.05,1,3.842,0.108,G
3.9,910,1,15,4,4,3.4,0.5,0,3.271,0.629,G
4,1260,3,13,4,4,3.385,0.615,0,3.148,0.852,G
3.3,990,1,17,4,0,1.286,2.014,1,1.286,2.014,N
3.27,1050,0,16,2,2,3.063,0.207,0,3.434,-0.164,G
3,1170,0,16,2,3,2.667,0.333,1,3.48,-0.48,G
3.76,1260,3,16,2,4,4,-0.24,0, ,3.76,N
3.14,1110,3,16,2,2,2.733,0.407,0,2.561,0.579,N
3.3,1170,4,16,4,1,1.063,2.237,0,2.318,0.982,N
3.55,1280,4,16,4,4,3.813,-0.263,0,3.813,-0.263,N
3,1260,2,16,4,1,1.231,1.769,0,3.186,-0.186,G
2.7,1010,3,17,2,2,2.941,-0.241,0,2.702,-0.002,N
3.25,1040,0,16,2,0,2.125,1.125,0,2.125,1.125,N
3.26,810,0,17,2,0,2.571,0.689,0,3.01,0.25,G
3.73,1350,3,16,4,3,3.125,0.605,1,2.563,1.167,N
2.98,1060,0,17,4,3,2.824,0.156,1,2,0.98,G
2.34,920,3,15,1,2,1.714,0.626,1,2.732,-0.392,G
3.64,1190,4,17,,,3.118,0.522,0,3.635,0.005,G
3.28,1080,4,15,2,3,3.286,-0.006,0,3.471,-0.191,G
3.64,970,0,17,4,1,2.588,1.052,1,2.856,0.784,N
3,1180,3,16,2,3,3.133,-0.133,0, ,3,N
3.42,1130,3,16,4,2,2.375,1.045,0,2.412,1.008,G
2.75,1110,3,17,2,1,1.688,1.062,1,2.05,0.7,N
3.66,1190,0,16,2,4,3.125,0.535,0,3.347,0.313,G
3.37,1020,4,17,3,1,1.462,1.908,0,1.462,1.908,N
2.7,960,0,16,4,1,2.5,0.2,0,2.984,-0.284,G
3.1,1050,1,12,,,3.25,-0.15,0,3.306,-0.206,N
4,1260,0,16,4,2,2.923,1.077,0,3.683,0.317,G
3.94,980,4,16,2,3,2.385,1.555,0, ,3.94,N
3.95,1360,2,16,4,4,4,-0.05,0,4,-0.05,G
3.3,1160,4,16,,,2.875,0.425,0,3.104,0.196,G
4,1380,2,16,4,4,4,0,1,3.894,0.106,G
2.7,990,4,15,1,3,1.733,0.967,0, ,2.7,N
2.57,1080,1,16,2,0,2.583,-0.013,1,2.292,0.278,N
3.37,1190,4,16,4,3,2.625,0.745,0,2.813,0.557,G
2.75,1040,1,16,1,2,2.154,0.596,0,2.364,0.386,G
3.21,1110,0,17,1,0,2,1.21,1,3,0.21,G
3.55,1140,2,17,1,3,2.882,0.668,0,4,-0.45,N
3.03,860,0,16,,,2.231,0.799,0,2.76,0.27,G
3.11,950,3,14,2,1,2.357,0.753,0,2.197,0.913,N
3.02,1200,4,14,1,1,1.308,1.712,0,1.308,1.712,N
2,1190,3,13,2,0,0.692,1.308,0,0.692,1.308,N
3.66,1270,2,17,4,3,2.529,1.131,0,2.733,0.927,G
3.55,1340,4,16,4,3,3.063,0.487,0,3.06,0.49,G
3.23,1030,4,16,2,2,3.063,0.167,0,3.217,0.013,N
3.6,980,4,15,4,3,2.2,1.4,0,2.881,0.719,G
3.85,1240,3,16,5,3,3.375,0.475,1,3.102,0.748,G
3.13,1170,2,12,,,3,0.13,0,2.551,0.579,G
2.9,850,3,17,1,3,2.706,0.194,1,2.582,0.318,G
3.96,1100,4,12,,,3.833,0.127,0,3.694,0.266,N
3.3,1170,2,16,2,4,3.625,-0.325,1,2.851,0.449,G
3.99,1400,4,17,4,3,2.917,1.073,1,2.917,1.073,N
3.744,1120,1,16,1,3,3.625,0.119,0,3.641,0.103,G
3,760,0,15,1,4,3.4,-0.4,0,3.315,-0.315,G
3.97,1190,1,16,2,3,3.769,0.201,0,3.769,0.201,N
3.92,1490,4,16,4,3,3.563,0.357,1,3.714,0.206,G
3.13,880,1,16,2,1,2.563,0.567,0,2.203,0.927,N
3.7,1280,0,17,4,3,3.353,0.347,1,3.26,0.44,G
2.7,810,3,17,2,1,1.75,0.95,0,2.887,-0.187,G
3.41,1100,4,17,4,4,3.588,-0.178,0,3.548,-0.138,G
3.16,1180,1,12,,,2.417,0.743,1,2.982,0.178,G
3.51,850,3,15,2,2,3.2,0.31,1,3.544,-0.034,G
2.9,1150,0,16,2,3,3.267,-0.367,0,3.017,-0.117,G
3.81,1050,3,16,4,0,0,3.81,0, ,3.81,N
3.29,1420,4,16,4,0,0.615,2.675,0,4,-0.71,N
4,1400,0,13,2,4,4,0,0,4,0,G
3.09,910,4,17,1,3,2.375,0.715,0,1.98,1.11,G
3.48,1020,2,15,2,2,2.857,0.623,0,3.01,0.47,G
3.32,1040,2,13,3,0,1.385,1.935,1,1.815,1.505,N
3.67,1060,3,16,4,3,1.875,1.795,0,2.31,1.36,N
3.82,1220,4,15,,,4,-0.18,0,3.824,-0.004,G
3,1180,0,16,4,2,2.063,0.937,1,2.619,0.381,G
2.27,890,2,16,1,3,2.533,-0.263,0,2.235,0.035,G
2.75,1110,3,14,2,4,3.231,-0.481,0,3.282,-0.532,G
3.3,1340,1,16,4,3,3.188,0.112,0,2.631,0.669,G
2.7,1080,3,16,4,4,3.769,-1.069,1,3.325,-0.625,N
3.9,1430,3,16,4,4,3.438,0.462,0,3.557,0.343,G
3.56,1240,3,15,4,4,3.667,-0.107,1,3.137,0.423,G
3.86,1040,0,16,2,3,3.267,0.593,0,3.461,0.399,G
3.47,1080,4,15,2,3,2.714,0.756,0,3.171,0.299,G
2.47,830,3,12,,,2.5,-0.03,0,2.75,-0.28,N
3.27,1350,4,16,,,3.25,0.02,1,3.612,-0.342,G
2.82,1230,0,16,4,3,3.188,-0.368,0,3.651,-0.831,G
3.22,1180,0,16,2,3,3.267,-0.047,1,3.63,-0.41,N
3.85,1280,3,16,4,3,2.923,0.927,0,2.887,0.963,G
2.67,800,1,17,3,2,2.765,-0.095,0,1.844,0.826,N
4,1280,4,17,4,3,3.353,0.647,0,3.371,0.629,G
3.98,1180,1,16,4,3,2.813,1.167,1,2.987,0.993,G
3.73,1350,2,17,4,2,2.571,1.159,0,2.571,1.159,N
3.84,910,4,15,3,2,3.2,0.64,0,2.466,1.374,G
3.3,1130,3,12,1,4,3.583,-0.283,0,2.92,0.38,G
2.89,1270,4,16,2,3,2.6,0.29,0,3.375,-0.485,G
3.97,1360,0,16,4,4,4,-0.03,0,3.777,0.193,G
3.75,1180,2,16,4,3,3.188,0.562,0,3.269,0.481,G
3,1180,0,16,4,0,1.625,1.375,0,2.114,0.886,N
2.42,1110,3,16,1,0,0.933,1.487,0,0.933,1.487,N
3.13,1070,4,15,2,2,2.357,0.773,1,2.308,0.822,N
3.91,1250,4,16,3,3,3,0.91,1,2.564,1.346,G
2.73,850,4,14,1,2,2.846,-0.116,0,2.49,0.24,N
2.7,1080,3,12,,,2.583,0.117,1,2.081,0.619,N
3.17,1040,3,15,1,2,2.583,0.587,0, ,3.17,N
3.77,1450,1,16,4,3,3.563,0.207,0,3.563,0.207,N
2.7,1170,1,16,2,3,3,-0.3,0,3.27,-0.57,G
3.9,1430,1,16,,,4,-0.1,1,4,-0.1,G
2.98,950,4,12,,,1,1.98,0, ,2.98,N
3.19,1100,1,14,2,0,2.917,0.273,1,3.048,0.142,G
3.74,1360,0,16,4,3,3.125,0.615,1,3.349,0.391,G
2.98,1030,2,16,2,2,2,0.98,0,2.51,0.47,N
3,1230,0,16,4,3,2.875,0.125,1,2.056,0.944,N
4,1420,3,17,4,4,4,0,1,3.934,0.066,G
3.26,920,3,12,,,2.417,0.843,0,2.021,1.239,N
2.66,810,4,15,1,1,1.8,0.86,0,1.929,0.731,N
3.69,1030,3,15,3,3,3.533,0.157,0,3.533,0.157,N
3.11,1230,4,16,4,2,2.692,0.418,1,2,1.11,N
2.35,1100,0,14,2,0,1,1.35,0,1,1.35,N
3.22,1160,4,16,1,3,2,1.22,1,2.675,0.545,G
3.7,1020,2,16,1,4,4,-0.3,0,4,-0.3,N
3.43,1340,1,16,4,3,3.375,0.055,0,2.906,0.524,G
3.7,1090,1,14,2,4,4,-0.3,0,4,-0.3,N
2.68,1080,0,16,2,2,3.063,-0.383,0,2.676,0.004,G
3.31,1100,0,16,2,1,2.467,0.843,1,2.833,0.477,G
2.47,1020,2,13,1,1,1.75,0.72,1, ,2.47,N
2.87,810,3,17,1,0,1.875,0.995,1,2.25,0.62,G
3.23,1180,2,15,1,4,3.8,-0.57,1,2.732,0.498,G
3.08,1180,4,16,2,4,3.133,-0.053,0,3.194,-0.114,G
3.68,1100,0,16,3,4,3.25,0.43,0,3.082,0.598,G
2.94,1080,3,16,2,0,1.438,1.502,0,2.821,0.119,G
2.78,790,3,12,1,1,2.364,0.416,0,3.113,-0.333,N
3.93,1260,4,15,4,4,3.6,0.33,1,3.09,0.84,G
2.74,940,0,16,2,1,2.133,0.607,0,2.759,-0.019,G
3.74,1040,3,16,,,3.813,-0.073,0,3.895,-0.155,G
3.7,1130,4,16,1,4,3.067,0.633,0,3.168,0.532,G
3.3,1180,3,16,4,2,1.538,1.762,0,2.93,0.37,N
3.81,1270,1,16,4,3,3.563,0.247,0,3.042,0.768,G
3.14,1040,1,16,2,3,2.538,0.602,0,2.538,0.602,N
3.89,1400,0,14,4,4,4,-0.11,0,4,-0.11,G
4,1240,2,14,4,4,3.786,0.214,0,3.769,0.231,G
2.93,1500,4,15,3,4,3.267,-0.337,0,3.267,-0.337,N
3.81,1280,3,16,4,0,2.077,1.733,1,2.562,1.248,G
3.7,1190,1,16,,,2.867,0.833,1,3.301,0.399,G
2.3,1030,4,15,2,3,2.4,-0.1,1,2.258,0.042,G
2.76,830,1,17,1,3,1.714,1.046,1,2.858,-0.098,G
3.11,1440,3,16,4,4,2.462,0.648,0,2.833,0.277,N
3.02,1170,3,16,4,2,2.231,0.789,0,2.6,0.42,G
2.68,840,0,15,2,0,1.75,0.93,0,2,0.68,N
3.7,1270,0,15,2,4,2.6,1.1,0,2.587,1.113,G
3.17,1330,3,16,4,4,3.063,0.107,1,3.551,-0.381,N
3.32,1000,4,16,4,3,3.188,0.132,1,3.073,0.247,G
3,970,4,12,,,1.75,1.25,1,2.262,0.738,N
4,1370,0,16,,,4,0,0,4,0,G
3.98,1340,0,16,2,2,3.267,0.713,0,3.267,0.713,N
3.38,1240,3,15,4,0,0,3.38,0, ,3.38,N
2.82,1130,2,16,2,1,3,-0.18,1,3,-0.18,N
3.9,1320,3,16,4,3,2.688,1.212,0,2.962,0.938,G
3.82,1170,1,16,4,3,3.188,0.632,0,3.188,0.632,N
3.32,1030,0,14,1,2,1.929,1.391,0,1.929,1.391,N
2.88,1090,2,15,,,1.909,0.971,0,1.909,0.971,N
3.65,1200,1,16,4,4,3.688,-0.038,0,3.902,-0.252,G
3.45,1160,3,16,4,1,2.412,1.038,0,2.708,0.742,N
3.97,1320,2,17,4,1,2.714,1.256,1,3.649,0.321,G
2.78,1010,3,17,,,0.615,2.165,0, ,2.78,N
1.91,910,2,16,1,2,1.8,0.11,0,1.963,-0.053,N
3.65,1120,4,15,2,2,2.667,0.983,0,2.667,0.983,N
3.63,1040,3,17,4,0,1.118,2.512,1, ,3.63,N
2.42,1190,3,15,1,4,3.067,-0.647,0,2.833,-0.413,N
2.55,940,3,16,1,2,2.813,-0.263,1,1.82,0.73,N
3.94,1130,4,16,4,4,4,-0.06,0,3.838,0.102,G
2.8,880,4,16,1,2,2.667,0.133,0,2.667,0.133,N
2.8,1010,2,16,1,0,1.333,1.467,1,1.524,1.276,N
2.15,960,0,16,1,0,1.867,0.283,0,2.36,-0.21,N
3.12,880,4,17,2,2,3.118,0.002,1,3.472,-0.352,G
3.36,1260,4,16,4,4,3.5,-0.14,0,3,0.36,G
2.96,940,3,17,2,2,1.588,1.372,0,2.431,0.529,G
3.66,1180,3,16,2,3,3.188,0.472,0, ,3.66,N
3.5,1410,2,14,4,2,3.214,0.286,0,2.815,0.685,G
3,770,1,15,1,1,2.133,0.867,1,2.133,0.867,N
3.7,850,3,16,1,2,2.867,0.833,1,2.973,0.727,G
3.21,1110,4,14,4,3,3.429,-0.219,0,2.946,0.264,G
3.91,1420,0,15,5,3,3.733,0.177,0,3.413,0.497,G
3.77,1160,4,14,2,4,2.923,0.847,0,3.356,0.414,G
2.78,1050,0,16,4,3,2.25,0.53,1,3.366,-0.586,G
3.7,1330,0,16,2,4,4,-0.3,1,3.847,-0.147,G
3.22,900,0,17,2,1,2.765,0.455,0,3.156,0.064,G
3.8,1430,0,17,4,4,4,-0.2,1,3.484,0.316,G
3.96,1120,0,16,4,4,3.813,0.147,0,3.97,-0.01,G
3.67,1270,4,16,4,1,3.25,0.42,1,3.134,0.536,G
2.5,950,0,15,4,0,0,2.5,0,3.167,-0.667,N
3.51,1160,3,17,1,2,3.118,0.392,0,3.073,0.437,G
3.06,1010,4,12,,,1.333,1.727,1, ,3.06,N
3.17,1200,3,17,,,3.647,-0.477,0,3.595,-0.425,G
4,1290,4,16,4,4,3.438,0.562,1,3.1,0.9,G
2.88,900,4,15,4,1,1.917,0.963,1,1.917,0.963,N
3.95,1280,0,16,2,4,3.813,0.137,0,3.934,0.016,G
2.6,900,4,14,1,2,2.846,-0.246,1,2.15,0.45,G
4,1110,2,16,4,3,3.75,0.25,1,3.471,0.529,G
3.16,1080,0,15,2,2,3.6,-0.44,0,3.037,0.123,G
2.89,1180,0,14,4,0,1.214,1.676,0,1.444,1.446,N
3.6,1230,3,17,2,1,2,1.6,1,2.319,1.281,G
3.41,1320,0,16,4,1,2.188,1.222,0,2.789,0.621,G
3.8,1230,3,16,4,4,3.438,0.362,1,3.204,0.596,N
2.7,1130,4,15,3,1,1.333,1.367,0, ,2.7,N
3.73,1100,4,15,4,3,3.133,0.597,0,2.974,0.756,G
3.65,1160,3,16,2,2,2.938,0.712,0,3.325,0.325,G
2.18,960,4,13,1,0,0.846,1.334,0,0.846,1.334,N
3.5,1080,1,15,4,2,2.467,1.033,0, ,3.5,N
3.85,1200,0,16,2,3,3.8,0.05,0,3.807,0.043,G
2.8,1180,4,16,4,2,2.75,0.05,0,2.6,0.2,G
3.27,990,3,16,2,2,3.063,0.207,0,3.242,0.028,G
3.25,990,4,16,1,2,3.4,-0.15,0,3.694,-0.444,G
3.18,1210,4,16,2,4,3.067,0.113,0, ,3.18,N
3.95,1210,1,15,4,0,2.083,1.867,1, ,3.95,N
3.11,980,2,14,2,3,3.357,-0.247,0,3.105,0.005,G
3.5,940,3,12,,,2.333,1.167,0,2.222,1.278,N
4,1240,4,16,,,3.625,0.375,0,3.929,0.071,G
3,1210,4,16,2,3,3.067,-0.067,0,2.765,0.235,G
3.45,980,2,16,2,2,2.467,0.983,1,3.358,0.092,G
3.07,960,3,16,2,0,2.667,0.403,0,2.491,0.579,G
3.3,1330,4,16,2,4,3.8,-0.5,1,3.901,-0.601,G
3.45,1120,0,16,4,2,2.188,1.262,0,2.308,1.142,N
3.88,1220,3,15,3,1,3.133,0.747,0,3.133,0.747,N
3,1360,4,14,2,4,3.385,-0.385,1,2.807,0.193,N
3.64,1170,1,13,4,3,2.615,1.025,0,2.783,0.857,G
3.56,1150,1,16,4,4,3.813,-0.253,1,2.21,1.35,N
2.95,1030,1,17,2,0,1.214,1.736,0,1.214,1.736,N
2.8,1020,1,16,3,4,2.813,-0.013,1,1.929,0.871,N
3.7,1220,4,16,4,4,3.813,-0.113,0,3.866,-0.166,G
2.65,990,4,16,,,2.833,-0.183,0, ,2.65,N
2.94,1070,1,16,4,2,2.188,0.752,0,2.626,0.314,G
2.51,1060,3,14,1,0,0.214,2.296,0, ,2.51,N
3.8,910,4,13,2,2,2.833,0.967,0,3.025,0.775,G
2.07,870,0,12,,,2,0.07,0,2.233,-0.163,G
3.17,1060,1,15,4,2,2.667,0.503,0,3.381,-0.211,G
3.7,1160,1,16,4,2,2.375,1.325,0,2.481,1.219,G
2.62,1040,4,16,1,2,3.2,-0.58,1,3.099,-0.479,N
3.02,1140,4,16,1,1,1.533,1.487,0, ,3.02,N
2.49,940,0,16,2,1,1.133,1.357,1,2.566,-0.076,G
2.3,930,4,12,,,2.5,-0.2,0,2.5,-0.2,N
3.7,860,3,14,2,3,2.714,0.986,1,2.69,1.01,G
2.69,870,3,17,1,2,2.077,0.613,1,3.045,-0.355,G
4,1300,3,14,4,3,3.714,0.286,0,3.11,0.89,G
3.77,980,4,17,4,4,3.714,0.056,0,3.275,0.495,G
3.7,1300,4,16,4,4,3.563,0.137,0,2.625,1.075,N
2.79,1090,0,14,2,0,0.5,2.29,0, ,2.79,N
3.52,1130,0,16,2,3,3.25,0.27,1,3.25,0.27,N
2.55,1010,4,16,1,3,1.417,1.133,0,1.93,0.62,N
3.94,1040,0,17,3,2,2.647,1.293,0,3.327,0.613,G
2.71,1070,4,17,4,2,2.176,0.534,1,2.267,0.443,N
3.07,1280,3,15,4,3,2.267,0.803,0,2.415,0.655,G
3.78,1140,2,15,2,1,2.357,1.423,0,2.321,1.459,G
3.01,950,0,16,1,3,2.467,0.543,0,2,1.01,N
2.86,1080,0,16,4,0,0.75,2.11,0,0.75,2.11,N
3,1220,4,17,2,2,2.706,0.294,0,3.212,-0.212,G
2.71,960,4,17,4,0,0.882,1.828,1,0.882,1.828,N
3.71,1140,4,16,4,4,3.813,-0.103,0,3.677,0.033,G
3.42,990,3,16,3,4,2.875,0.545,0,3.121,0.299,G
2.59,920,0,13,4,0,1.615,0.975,0,1.615,0.975,N
3,1200,3,16,4,3,3.188,-0.188,0,2.933,0.067,G
3.69,1140,3,15,4,3,2.733,0.957,0,3.35,0.34,G
3.11,800,3,15,2,0,0.429,2.681,0,0.75,2.36,N
3.34,970,4,15,3,2,2.5,0.84,0,2.737,0.603,G
2.91,1200,4,14,4,0,0.214,2.696,1,1,1.91,N
3.05,1200,4,16,4,0,0.375,2.675,0,0.5,2.55,N
2.92,1130,2,16,4,0,1.692,1.228,0,1.962,0.958,N
3.43,1220,4,16,2,4,3.467,-0.037,0,3.755,-0.325,G
3.9,1300,0,14,4,2,2.357,1.543,0,2.019,1.881,N
3.24,1300,3,16,4,3,2.438,0.802,0,2.438,0.802,N
3.42,1160,4,16,4,3,3,0.42,0,2.86,0.56,G
3.44,1380,0,15,4,0,1.308,2.132,0,1.69,1.75,N
2.77,770,4,14,1,0,1.769,1.001,0,2.204,0.566,N
3.75,1270,2,17,4,3,2.647,1.103,0,3.311,0.439,G
3,860,4,16,1,2,3.067,-0.067,0,3.233,-0.233,N
3.43,1320,3,18,2,3,3.167,0.263,0,3.712,-0.282,G
3.73,930,0,15,4,1,2.4,1.33,1,2.421,1.309,N
3.84,1200,2,16,4,4,4,-0.16,0,3.707,0.133,G
3.48,960,4,17,2,0,1.375,2.105,1,2,1.48,N
2.7,940,1,17,4,2,1.706,0.994,0,2.593,0.107,N
3.74,1260,4,16,2,1,2.8,0.94,0,2.778,0.962,N
2.43,960,4,16,1,0,0.8,1.63,0,0.8,1.63,N
3.68,1280,2,16,2,3,3.625,0.055,0,3.663,0.017,G
2.75,930,2,15,1,3,2.4,0.35,0,2,0.75,N
3.87,1200,1,16,2,4,4,-0.13,0,3.89,-0.02,G
3,890,4,16,1,3,2.133,0.867,1, ,3,N
2.77,950,0,16,4,1,2.364,0.406,0, ,2.77,N
2.9,860,0,17,1,1,1.938,0.962,0,1.938,0.962,N
3.41,1010,0,17,1,3,3.313,0.097,0,3.019,0.391,G
3.33,830,0,14,1,3,2.538,0.792,0,2.538,0.792,N
2.79,1120,4,15,2,1,2.429,0.361,0,2.927,-0.137,G
2.7,1000,4,16,2,1,2.133,0.567,1,3.203,-0.503,G
2.55,1000,3,14,4,0,0.769,1.781,0,1.294,1.256,N
3.21,1260,0,16,4,2,2.188,1.022,0, ,3.21,N
3.9,1350,3,16,4,3,3.75,0.15,0,3.83,0.07,G
2.42,1060,0,16,4,3,3.438,-1.018,0,2.79,-0.37,N
