hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,termhrs,Math Tier,CRS1 name,gradeN,1TG Bla,1T GD z,Change,RATE
2.24,560,540,1100,2984,2892,4,15,4,College Algebra,4,3.667,-1.427,0,N
2.48,630,630,1120,3238,3104,4,15,4,College Algebra,4,3.8,-1.32,0,G
1.7,610,610,1130,2760,2490,4,17,4,Calculus & Analytical Geom I,4,2.882,-1.182,0,G
2.7,590,590,1080,3290,3240,3,16,4,Calculus & Analytical Geom I,4,3.769,-1.069,1,N
2.42,590,590,1060,3102,2996,0,16,4,Calculus & Analytical Geom II,3,3.438,-1.018,0,N
2.01,660,660,1260,3126,2868,0,16,4,Calculus & Analytical Geom I,0,3,-0.99,0,N
2.42,630,630,1190,3272,3126,3,15,1,Intermediate Algebra,4,3.067,-0.647,0,N
2.48,460,460,880,2828,2864,2,13,1,Intermediate Algebra,2,3.077,-0.597,0,N
3.23,650,530,1180,3648,3764,2,15,1,Intermediate Algebra,4,3.8,-0.57,1,G
3.6,590,590,1140,3890,4020,1,15,4,College Algebra,4,4,-0.4,0,G
2.82,580,650,1230,3572,3486,0,16,4,Calculus & Analytical Geom II,3,3.188,-0.368,0,G
3.05,620,620,1240,3690,3680,0,17,4,Calculus & Analytical Geom I,3,3.412,-0.362,1,G
3.48,640,640,1200,3928,3984,1,16,4,Calculus & Analytical Geom II,4,3.813,-0.333,0,G
3.31,590,580,1170,3736,3818,0,16,4,Calculus & Analytical Geom II,4,3.625,-0.315,0,G
3.5,730,730,1250,4080,4050,2,16,4,Calculus & Analytical Geom I,4,3.813,-0.313,1,G
3.5,630,630,1240,3970,4040,4,16,4,Calculus & Analytical Geom III,4,3.813,-0.313,0,G
3.3,570,570,1130,3680,3770,3,12,1,Intermediate Algebra,4,3.583,-0.283,0,G
3.53,590,590,1010,3718,3834,3,15,4,College Algebra,4,3.8,-0.27,0,G
3.55,650,630,1280,4040,4120,4,16,4,Calculus & Analytical Geom I,4,3.813,-0.263,0,N
3.54,730,780,1390,4294,4222,0,15,4,Calculus & Analytical Geom III,4,3.8,-0.26,0,N
3.56,670,670,1150,3956,3998,1,16,4,Calculus & Analytical Geom I,4,3.813,-0.253,1,N
3.76,770,680,1450,4386,4458,3,15,5,Differential Eq & Matrix Meth,4,4,-0.24,0,N
3.76,700,700,1320,4276,4328,2,16,4,Calculus & Analytical Geom III,4,4,-0.24,1,G
3.21,600,600,1110,3636,3678,4,14,4,Calculus & Analytical Geom II,3,3.429,-0.219,0,G
3.61,620,620,1090,3876,3978,3,17,4,Calculus & Analytical Geom III,4,3.824,-0.214,0,G
2.3,430,440,840,2660,2680,0,14,2,College Math for Aviation I,0,2.5,-0.2,0,N
3.8,750,790,1430,4500,4470,0,17,4,Calculus & Analytical Geom II,4,4,-0.2,1,G
3.01,530,530,1030,3366,3438,2,15,3,College Algebra,2,3.2,-0.19,1,N
3,630,680,1200,3680,3600,3,16,4,Calculus & Analytical Geom I,3,3.188,-0.188,0,G
3.46,690,690,1350,4116,4118,3,16,4,Calculus & Analytical Geom I,4,3.625,-0.165,1,G
3.84,640,640,1200,4144,4272,2,16,4,Calculus & Analytical Geom I,4,4,-0.16,0,G
3.86,680,680,1310,4306,4398,4,16,4,Calculus & Analytical Geom I,4,4,-0.14,1,G
3.36,680,680,1260,3956,3948,4,16,4,Calculus & Analytical Geom III,4,3.5,-0.14,0,G
3.46,520,620,1140,3836,3908,3,17,4,Calculus & Analytical Geom I,4,3.6,-0.14,0,G
3.68,670,670,1270,4148,4214,3,16,4,Calculus & Analytical Geom I,4,3.813,-0.133,1,G
3.87,620,600,1220,4142,4316,4,14,4,Calculus & Analytical Geom I,4,4,-0.13,0,G
2.81,520,520,1020,3226,3268,1,15,4,Calculus & Analytical Geom I,3,2.933,-0.123,0,G
3.88,650,650,1230,4208,4334,3,17,4,Calculus & Analytical Geom III,4,4,-0.12,1,G
3.01,650,680,1150,3636,3558,0,16,4,Calculus & Analytical Geom I,4,3.125,-0.115,0,N
3.7,710,710,1220,4150,4180,4,16,4,Calculus & Analytical Geom I,4,3.813,-0.113,0,G
3.7,710,710,1320,4250,4280,0,16,4,Calculus & Analytical Geom I,4,3.813,-0.113,1,N
3.89,720,680,1400,4414,4512,0,14,4,Calculus & Analytical Geom III,4,4,-0.11,0,G
3.56,680,680,1240,4056,4088,3,15,4,Calculus & Analytical Geom III,4,3.667,-0.107,1,G
3.71,550,620,1140,3986,4108,4,16,4,Calculus & Analytical Geom I,4,3.813,-0.103,0,G
3.9,730,730,1390,4460,4510,4,16,4,Calculus & Analytical Geom III,4,4,-0.1,1,G
2.67,340,460,800,2862,2936,1,17,3,Trigonometry,2,2.765,-0.095,0,N
2.68,540,560,1080,3248,3224,0,15,1,Intermediate Algebra,3,2.75,-0.07,0,G
3.94,590,590,1130,4084,4282,4,16,4,Calculus & Analytical Geom I,4,4,-0.06,0,G
3.1,660,470,1130,3460,3610,0,16,4,College Algebra,0,3.154,-0.054,0,G
3.95,720,720,1440,4530,4600,0,16,4,Calculus & Analytical Geom II,4,4,-0.05,0,G
3.95,700,680,1380,4430,4540,4,16,4,Calculus & Analytical Geom III,4,4,-0.05,1,G
3.95,710,710,1360,4440,4520,2,16,4,Calculus & Analytical Geom II,4,4,-0.05,0,G
3.65,660,660,1200,4050,4120,1,16,4,Calculus & Analytical Geom I,4,3.688,-0.038,0,G
3.15,620,620,1070,3580,3590,3,16,4,Calculus & Analytical Geom I,3,3.188,-0.038,0,N
3.97,690,690,1360,4432,4536,0,16,4,Calculus & Analytical Geom II,4,4,-0.03,0,G
3.97,700,700,1370,4452,4546,4,15,4,Calculus & Analytical Geom III,4,4,-0.03,1,G
3.66,650,650,1130,3976,4058,4,16,4,Calculus & Analytical Geom I,4,3.688,-0.028,1,G
4,540,680,1220,4300,4420,4,14,4,Calculus & Analytical Geom II,4,4,0,0,G
4,720,620,1340,4360,4540,2,16,4,Calculus & Analytical Geom I,4,4,0,0,G
4,780,780,1380,4560,4580,2,16,4,Calculus & Analytical Geom II,4,4,0,1,G
4,720,700,1420,4520,4620,3,17,4,Calculus & Analytical Geom II,4,4,0,1,G
4,700,740,1440,4580,4640,4,16,4,Calculus & Analytical Geom III,4,4,0,0,G
3.24,540,540,1080,3564,3672,1,17,4,Calculus & Analytical Geom I,3,3.235,0.005,0,G
3.51,650,650,1280,4036,4088,0,16,4,Calculus & Analytical Geom II,4,3.5,0.01,0,G
3.6,750,750,1430,4340,4310,4,17,4,Calculus & Analytical Geom II,3,3.588,0.012,0,G
2.89,650,650,1070,3454,3382,0,16,4,Calculus & Analytical Geom I,3,2.875,0.015,1,G
3.71,590,640,1230,4096,4198,4,16,4,Calculus & Analytical Geom I,3,3.688,0.022,1,G
2.89,570,620,1130,3484,3442,3,15,4,Calculus & Analytical Geom I,3,2.867,0.023,0,G
3.65,620,680,1280,4150,4200,0,16,4,Calculus & Analytical Geom I,4,3.625,0.025,0,G
3.6,580,550,1130,3840,4010,3,16,1,Intermediate Algebra,3,3.563,0.037,0,N
2.8,650,650,1180,3510,3420,4,16,4,Calculus & Analytical Geom I,2,2.75,0.05,0,G
3.8,730,730,1360,4370,4400,3,16,4,Calculus & Analytical Geom III,3,3.75,0.05,0,G
3.43,700,700,1340,4098,4084,1,16,4,Calculus & Analytical Geom II,3,3.375,0.055,0,G
3.77,420,560,980,3802,3996,4,17,4,Calculus & Analytical Geom I,4,3.714,0.056,0,G
3.75,650,650,1210,4110,4210,3,16,4,Calculus & Analytical Geom I,4,3.688,0.062,1,G
3.75,650,650,1290,4190,4290,2,16,4,Calculus & Analytical Geom I,4,3.688,0.062,0,G
3,530,510,1040,3350,3440,0,15,4,College Algebra,2,2.933,0.067,0,N
2.5,520,460,980,2940,2980,2,15,4,College Algebra,0,2.417,0.083,1,G
2.66,570,570,1080,3246,3208,1,14,4,Calculus & Analytical Geom I,2,2.571,0.089,1,G
3.28,710,710,1300,3978,3924,4,16,4,Calculus & Analytical Geom III,3,3.188,0.092,0,N
3.91,760,780,1440,4566,4568,4,16,6,Special Topics in Mathematics,4,3.813,0.097,0,G
3.7,590,590,1110,3920,4070,2,15,4,Calculus & Analytical Geom I,4,3.6,0.1,0,G
2.35,600,640,1240,3290,3120,2,16,2,College Math for Aviation II,3,2.25,0.1,0,N
3.17,710,710,1330,3942,3866,3,16,4,Calculus & Analytical Geom I,4,3.063,0.107,1,N
3.3,700,700,1330,4010,3970,4,16,4,Calculus & Analytical Geom II,3,3.188,0.112,0,N
3.3,720,620,1340,3940,3980,1,16,4,Calculus & Analytical Geom I,3,3.188,0.112,0,G
3.8,620,650,1270,4200,4310,0,16,4,Calculus & Analytical Geom I,4,3.688,0.112,1,G
3.76,650,650,1170,4076,4178,0,17,4,Calculus & Analytical Geom I,4,3.647,0.113,0,N
3.7,630,630,1150,4000,4110,0,16,4,Calculus & Analytical Geom II,3,3.583,0.117,0,G
3.93,780,780,1320,4458,4464,4,16,4,Calculus & Analytical Geom I,4,3.813,0.117,1,G
3.68,640,620,1260,4088,4204,4,16,4,Calculus & Analytical Geom II,3,3.563,0.117,1,G
3.43,490,600,1090,3748,3834,2,16,4,Calculus & Analytical Geom I,4,3.313,0.117,0,N
3.744,570,580,1120,3946.4,4115.2,1,16,1,Intermediate Algebra,3,3.625,0.119,0,G
3,570,570,1090,3460,3490,3,16,4,Calculus & Analytical Geom II,3,2.875,0.125,1,N
3,580,650,1230,3680,3630,0,16,4,Calculus & Analytical Geom II,3,2.875,0.125,1,N
3.84,730,630,1360,4294,4432,4,15,4,Calculus & Analytical Geom I,4,3.714,0.126,1,G
3.96,560,560,1100,4036,4268,4,12,,,,3.833,0.127,0,N
3.32,640,640,1000,3632,3656,4,16,4,Calculus & Analytical Geom II,3,3.188,0.132,1,G
3.7,520,520,1030,3770,3990,3,16,4,Calculus & Analytical Geom I,3,3.563,0.137,1,G
3.7,660,640,1300,4160,4260,4,16,4,Calculus & Analytical Geom I,4,3.563,0.137,0,N
3.7,700,700,1240,4160,4200,0,16,4,Calculus & Analytical Geom II,3,3.563,0.137,0,N
3.85,620,620,1060,3990,4140,4,17,4,Calculus & Analytical Geom I,4,3.706,0.144,1,G
3.96,580,600,1120,4096,4288,0,16,4,Calculus & Analytical Geom I,4,3.813,0.147,0,G
3.9,690,690,1350,4380,4470,3,16,4,Calculus & Analytical Geom II,3,3.75,0.15,0,G
3.94,670,680,1350,4394,4502,0,17,4,Calculus & Analytical Geom I,4,3.786,0.154,1,G
2.98,610,640,1060,3488,3444,0,17,4,Calculus & Analytical Geom I,3,2.824,0.156,1,G
3.69,470,560,1030,3804,3982,3,15,3,Trigonometry,3,3.533,0.157,0,N
3.61,730,730,1400,4296,4288,3,16,4,Calculus & Analytical Geom I,4,3.438,0.172,0,G
3.8,590,640,1170,4090,4210,0,16,4,Calculus & Analytical Geom I,4,3.625,0.175,1,G
3.55,630,630,1170,3930,4010,4,16,4,College Algebra,3,3.375,0.175,0,G
3.91,740,680,1420,4446,4548,0,15,5,Differential Eq & Matrix Meth,3,3.733,0.177,0,G
4,610,610,1160,4170,4360,0,16,4,Calculus & Analytical Geom I,4,3.813,0.187,0,G
4,660,720,1380,4500,4580,4,16,4,Calculus & Analytical Geom II,4,3.813,0.187,0,G
3.6,740,620,1360,4140,4240,4,17,4,Calculus & Analytical Geom I,3,3.412,0.188,1,G
3,590,520,1110,3430,3510,3,15,4,College Algebra,2,2.8,0.2,0,G
4,700,600,1300,4300,4500,3,15,4,College Algebra,4,3.8,0.2,1,N
2.7,520,520,960,3100,3120,0,16,4,Calculus & Analytical Geom I,1,2.5,0.2,0,G
3.97,620,620,1190,4192,4366,1,16,2,College Math for Aviation I,3,3.769,0.201,0,N
3.77,760,790,1450,4502,4466,1,16,4,Calculus & Analytical Geom II,3,3.563,0.207,0,N
2.96,570,540,1110,3426,3478,0,16,4,Calculus & Analytical Geom I,2,2.75,0.21,0,G
4,660,580,1240,4220,4440,2,14,4,Calculus & Analytical Geom II,4,3.786,0.214,0,G
3.93,700,680,1380,4418,4524,0,15,4,Calculus & Analytical Geom III,4,3.714,0.216,1,G
3.72,690,690,1270,4192,4246,4,16,4,Calculus & Analytical Geom II,4,3.5,0.22,0,G
3.02,520,540,1060,3412,3476,3,15,4,College Algebra,2,2.8,0.22,0,N
3.41,780,780,1410,4236,4138,0,16,4,Calculus & Analytical Geom III,3,3.188,0.222,1,N
3.48,540,500,1040,3628,3824,1,15,1,Intermediate Algebra,4,3.25,0.23,0,N
3,500,500,900,3200,3300,2,13,1,Intermediate Algebra,4,2.769,0.231,1,G
4,550,550,1080,4030,4280,0,13,4,Calculus & Analytical Geom I,0,3.769,0.231,0,G
3.83,770,720,1490,4508,4554,0,17,5,Differential Eq & Matrix Meth,3,3.588,0.242,0,G
2.89,570,620,1140,3494,3452,0,17,4,College Algebra,2,2.647,0.243,1,N
2.86,560,530,1090,3336,3378,3,16,4,College Algebra,0,2.615,0.245,1,G
3.81,690,690,1270,4246,4318,1,16,4,Calculus & Analytical Geom III,3,3.563,0.247,0,G
4,630,630,1110,4140,4310,2,16,4,Calculus & Analytical Geom II,3,3.75,0.25,1,G
3.83,660,660,1320,4278,4384,3,16,4,Calculus & Analytical Geom I,3,3.563,0.267,0,G
3.19,580,580,1100,3594,3652,1,14,2,College Math for Aviation II,0,2.917,0.273,1,G
3.9,680,680,1220,4240,4340,3,16,4,Calculus & Analytical Geom I,4,3.625,0.275,0,G
3.7,490,490,910,3620,3870,3,15,4,Calculus & Analytical Geom I,4,3.417,0.283,1,N
3.91,600,640,1240,4226,4368,4,16,4,Calculus & Analytical Geom I,4,3.625,0.285,0,G
3.5,740,670,1410,4180,4210,2,14,4,Calculus & Analytical Geom III,2,3.214,0.286,0,G
4,640,680,1300,4380,4500,3,14,4,Calculus & Analytical Geom II,3,3.714,0.286,0,G
3.49,570,520,1090,3704,3882,2,15,4,College Algebra,4,3.2,0.29,0,N
2.43,770,660,1430,3548,3374,3,15,4,Calculus & Analytical Geom III,3,2.133,0.297,0,G
3.8,650,650,1280,4210,4320,0,17,4,Calculus & Analytical Geom I,3,3.5,0.3,1,N
3.93,640,640,1210,4208,4354,4,16,4,Calculus & Analytical Geom I,4,3.625,0.305,0,G
3.87,540,540,1080,3942,4176,4,16,4,Calculus & Analytical Geom I,3,3.563,0.307,0,G
3.38,510,580,1090,3698,3794,4,16,4,Calculus & Analytical Geom I,3,3.063,0.317,0,G
3.01,390,390,780,2976,3188,2,16,4,Calculus & Analytical Geom I,2,2.692,0.318,1,G
3.25,670,650,1320,3920,3920,1,14,4,Calculus & Analytical Geom I,4,2.929,0.321,0,G
3.61,770,740,1510,4416,4398,1,17,4,Calculus & Analytical Geom II,2,3.286,0.324,1,G
3.7,610,610,1070,3900,4030,4,16,4,Calculus & Analytical Geom II,3,3.375,0.325,0,G
3.86,650,650,1240,4206,4328,4,15,4,Calculus & Analytical Geom II,3,3.533,0.327,0,G
3.93,640,620,1260,4238,4404,4,15,4,Calculus & Analytical Geom I,4,3.6,0.33,1,G
3.8,800,800,1460,4540,4500,2,15,4,Calculus & Analytical Geom II,3,3.467,0.333,1,G
3.9,460,460,840,3640,3960,0,16,3,Trigonometry,0,3.563,0.337,0,N
3.26,520,540,1060,3556,3668,0,15,4,Calculus & Analytical Geom I,2,2.917,0.343,0,G
2.91,550,550,1090,3386,3418,1,16,4,Calculus & Analytical Geom I,2,2.563,0.347,0,N
3.7,690,690,1280,4190,4240,0,17,4,Calculus & Analytical Geom II,3,3.353,0.347,1,G
3.58,560,640,1150,3938,4014,3,16,4,Calculus & Analytical Geom I,3,3.231,0.349,1,N
2.75,490,440,930,3020,3130,2,15,1,Intermediate Algebra,3,2.4,0.35,0,N
3.41,570,640,1130,3816,3858,4,17,4,Calculus & Analytical Geom I,3,3.059,0.351,1,G
3.92,770,720,1490,4562,4626,4,16,4,Calculus & Analytical Geom II,3,3.563,0.357,1,G
3.8,630,630,1230,4140,4270,3,16,4,Calculus & Analytical Geom I,4,3.438,0.362,1,N
4,700,640,1340,4380,4540,3,16,4,Calculus & Analytical Geom III,4,3.625,0.375,1,G
4,740,740,1440,4580,4640,1,16,4,Calculus & Analytical Geom III,4,3.625,0.375,0,G
3.38,550,550,1090,3668,3794,1,16,4,Calculus & Analytical Geom I,3,3,0.38,0,G
3.24,640,640,1100,3684,3692,4,17,4,Calculus & Analytical Geom I,3,2.857,0.383,0,G
3.47,520,520,1030,3632,3806,4,16,1,Intermediate Algebra,3,3.067,0.403,1,N
3.58,720,720,1370,4238,4234,0,17,4,Calculus & Analytical Geom II,3,3.176,0.404,1,G
2.77,530,530,950,3142,3166,0,16,4,Calculus & Analytical Geom I,1,2.364,0.406,0,N
3.91,730,730,1250,4326,4378,4,16,4,Calculus & Analytical Geom II,4,3.5,0.41,0,G
3.11,610,620,1230,3716,3718,4,16,4,Calculus & Analytical Geom I,2,2.692,0.418,1,N
3.67,680,680,1270,4152,4206,4,16,4,Calculus & Analytical Geom III,1,3.25,0.42,1,G
3.42,570,600,1160,3812,3896,4,16,4,Calculus & Analytical Geom I,3,3,0.42,0,G
3.86,610,620,1140,4076,4228,4,16,4,Calculus & Analytical Geom I,4,3.438,0.422,0,G
3,520,540,1050,3390,3450,3,16,4,Calculus & Analytical Geom I,2,2.563,0.437,0,G
3.04,550,600,1140,3564,3572,3,15,4,Calculus & Analytical Geom I,2,2.6,0.44,0,N
3.38,560,640,1200,3868,3904,2,16,4,Calculus & Analytical Geom I,3,2.938,0.442,1,N
3.57,660,620,1280,4042,4136,4,16,4,Calculus & Analytical Geom I,4,3.125,0.445,1,N
3.82,720,680,1400,4372,4456,4,16,4,Calculus & Analytical Geom III,3,3.375,0.445,0,G
3.95,580,580,1160,4110,4320,0,16,4,Calculus & Analytical Geom I,0,3.5,0.45,0,N
3.2,490,440,930,3290,3490,4,16,4,Calculus & Analytical Geom I,2,2.75,0.45,0,G
3.83,690,610,1300,4208,4364,4,16,4,Calculus & Analytical Geom II,3,3.375,0.455,0,G
3.4,640,560,1200,3800,3920,4,17,4,Calculus & Analytical Geom I,3,2.941,0.459,0,G
3.9,790,640,1430,4410,4550,3,16,4,Calculus & Analytical Geom III,4,3.438,0.462,0,G
3.28,620,600,1220,3788,3844,0,16,4,Calculus & Analytical Geom I,4,2.813,0.467,0,G
3.85,540,700,1240,4250,4320,3,16,5,Differential Eq & Matrix Meth,3,3.375,0.475,1,G
3.55,640,700,1340,4170,4180,4,16,4,Calculus & Analytical Geom I,3,3.063,0.487,0,G
2.3,670,670,1250,3300,3090,3,16,4,Calculus & Analytical Geom I,2,1.813,0.487,1,G
3.74,510,540,1050,3834,4042,4,16,2,College Math for Aviation I,2,3.25,0.49,0,N
2.81,620,620,1090,3396,3338,0,16,4,Calculus & Analytical Geom I,1,2.313,0.497,0,G
3.81,620,700,1320,4306,4368,4,16,4,Calculus & Analytical Geom II,4,3.313,0.497,1,N
3.3,630,620,1250,3850,3890,3,14,4,Calculus & Analytical Geom I,0,2.8,0.5,0,N
3.9,480,480,910,3730,4030,1,15,4,College Algebra,4,3.4,0.5,0,G
4,620,650,1270,4320,4470,3,16,,,,3.5,0.5,0,N
3.66,680,680,1290,4166,4218,0,16,4,Calculus & Analytical Geom II,2,3.154,0.506,0,N
3.57,640,680,1320,4142,4176,0,16,4,Calculus & Analytical Geom I,2,3.063,0.507,0,N
3.64,650,650,1250,4084,4162,3,16,4,Calculus & Analytical Geom III,2,3.125,0.515,0,N
3.81,560,580,1140,4006,4188,3,17,4,Calculus & Analytical Geom I,3,3.286,0.524,0,G
2.78,570,570,1050,3288,3274,0,16,4,Trigonometry,3,2.25,0.53,1,G
2.71,510,560,1070,3256,3238,4,17,4,Calculus & Analytical Geom I,2,2.176,0.534,1,N
3.98,580,580,1160,4128,4344,4,16,4,Calculus & Analytical Geom I,4,3.438,0.542,1,G
3.9,780,780,1550,4670,4670,1,14,5,Differential Eq & Matrix Meth,3,3.357,0.543,1,G
3.17,560,560,1060,3522,3596,2,16,4,College Algebra,3,2.625,0.545,0,N
2.19,720,720,1260,3294,3012,3,17,4,Calculus & Analytical Geom I,3,1.643,0.547,0,N
3.47,660,620,1280,3982,4056,4,16,4,Calculus & Analytical Geom I,3,2.923,0.547,1,G
2.96,530,540,990,3306,3358,0,17,4,Calculus & Analytical Geom I,3,2.412,0.548,0,N
3.75,620,560,1180,3990,4180,2,16,4,Calculus & Analytical Geom I,3,3.188,0.562,0,G
4,670,620,1290,4310,4490,4,16,4,Calculus & Analytical Geom I,4,3.438,0.562,1,G
3.95,580,700,1280,4350,4440,4,16,3,College Algebra,3,3.375,0.575,0,G
3.19,620,640,1200,3754,3752,4,16,4,Calculus & Analytical Geom I,3,2.615,0.575,1,G
3.72,580,640,1220,4092,4196,4,17,4,Calculus & Analytical Geom I,3,3.143,0.577,1,G
3.15,460,460,920,3270,3440,0,17,,,,2.571,0.579,0,N
3.65,700,650,1350,4190,4270,4,17,4,Calculus & Analytical Geom I,3,3.071,0.579,1,G
3.9,760,670,1430,4440,4550,0,16,2,College Math for Aviation I,4,3.313,0.587,0,G
3.17,520,520,1040,3462,3576,3,15,1,Intermediate Algebra,2,2.583,0.587,0,N
3.79,580,580,1120,3974,4152,4,15,4,Calculus & Analytical Geom II,4,3.2,0.59,1,G
